BOTTLE,20240810CCHHYDRO
320620180309  ,S04P       ,19      ,  1,6          ,6          ,2,20180326,0244, -67.2488, 174.4687,     3275,   2370.4,0.4269861111111111218,34.700784092856068,2,  34.7009,2,211.57133992341718,2, 210.9014,2,    211.1,2,    129.2,2,    32.66,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.4262,2,0.61000000,2, -164.000,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.679,1,    0.132,1,     -999,9,     -999,9,20180326,0309, -67.2487, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,5          ,5          ,2,20180326,0244, -67.2488, 174.4687,     3275,   2575.0,0.3673249999999999571,34.698780382807996,2,  34.6996,2,213.22393537799215,2, 213.0026,2,    213.0,2,    129.5,2,    32.65,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,   2264.0,2,  2363.05,2,   7.5887,2,    24.94,     -999,9,     -999,9,   0.3667,2,0.52000000,2, -162.050,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.679,1,    0.128,1,     -999,9,     -999,9,20180326,0304, -67.2490, 174.4686,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,4          ,4          ,2,20180326,0244, -67.2488, 174.4687,     3275,   2780.5,0.2914444444444444504,34.694182497387018,2,  34.6943,2,216.27041987807596,2, 216.9022,2,    216.7,2,    126.4,2,    32.54,2,     0.00,2,     2.23,2,    0.620,2,    0.343,2,   0.1800,2,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.2910,2,0.60000000,2, -159.800,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.679,1,    0.128,1,  18.6900,2,     -999,9,20180326,0259, -67.2490, 174.4686,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,3          ,3          ,2,20180326,0244, -67.2488, 174.4687,     3275,   2983.9,0.2158555555555555783,34.690053302868925,2,  34.6899,2,219.82716842521128,2, 220.1991,2,    219.9,2,    122.6,2,    32.45,2,     0.00,2,     2.23,2,    0.621,2,    0.343,2,   0.1500,2,   2264.4,2,  2361.25,2,   7.5875,6,    24.95,     -999,9,     -999,9,   0.2152,2,0.56000000,2, -155.260,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.678,1,    0.127,1,  18.7200,2,     -999,9,20180326,0254, -67.2489, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,2          ,2          ,2,20180326,0244, -67.2488, 174.4687,     3275,   3155.4,0.1449638888888888921,34.686799961280705,2,  34.6868,2,222.96762592451182,2, 223.3021,2,    223.4,2,    118.7,2,    32.31,2,     0.00,2,     2.23,2,    1.127,2,    0.608,2,   0.5200,2,   2266.8,3,  2358.49,2,   7.5882,2,    24.94,     -999,9,     -999,9,   0.1448,2,0.60000000,2, -164.480,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.677,1,    0.129,1,  18.8300,2,     -999,9,20180326,0249, -67.2489, 174.4686,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,1          ,1          ,2,20180326,0244, -67.2488, 174.4687,     3275,   3322.7,0.0317777777777777798,34.685593128559361,2,  34.6850,2,228.57961695381439,2, 227.5041,2,    227.7,2,    111.3,2,    32.14,2,     0.00,2,     2.23,2,    1.613,2,    0.878,2,   0.8800,2,   2262.4,6,  2356.54,2,   7.5874,2,    24.92,     -999,9,     -999,9,   0.0311,2,0.65000000,2, -151.690,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.668,1,    0.144,1,  18.9400,2,     -999,9,20180326,0244, -67.2488, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,20      ,  1,36         ,36         ,4,20180326,0857, -67.0020, 175.5832,     3079,     -0.4,-0.9921638888888888452,34.039419034588200,3,     -999,9,328.91456568518691,2, 302.9702,4,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,  -2.6537,4,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,5,     -999,5,     -999,5,     -999,9,     -999,9,20180326,1101, -67.0023, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,35         ,35         ,2,20180326,0857, -67.0020, 175.5832,     3079,     24.7,-0.9975416666666667709,34.038561535591192,2,  34.0373,2,342.47528814031176,2, 336.5938,3,    342.5,2,     55.3,2,    26.76,2,     0.15,2,     1.83,2,    5.537,2,    3.069,2,   3.7600,2,   2195.8,6,  2305.43,2,   7.6498,6,    24.91,     44.4,2,     -999,9,  -0.9979,2,     -999,9,     -999,9,     -999,     -999,9,    29.80,2,     -999,1,     -999,9,    0.164,1,    4.590,1,    0.229,1,  15.8200,2,     -999,9,20180326,1100, -67.0022, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,34         ,34         ,2,20180326,0857, -67.0020, 175.5832,     3079,     49.8,-0.9968777777777779736,34.038906229050880,2,  34.0371,2,343.02269792119336,2, 344.0954,2,    342.6,2,     55.9,2,    26.75,2,     0.15,2,     1.83,2,    5.442,2,    3.066,2,   3.7000,2,   2195.3,2,  2304.31,2,   7.6508,2,    24.96,     42.7,2,     -999,9,  -0.9965,2,     -999,9,     -999,9,     -999,     -999,9,    30.00,2,     -999,1,     -999,9,    0.163,1,    4.590,1,    0.234,1,  15.2400,2,     -999,9,20180326,1058, -67.0022, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,33         ,33         ,2,20180326,0857, -67.0020, 175.5832,     3079,     75.0,-0.9716777777777778624,34.088465327313273,3,  34.1719,2,305.47491978387802,3, 296.6016,3,    306.2,2,     64.1,2,    28.47,2,     0.18,2,     1.98,2,    4.434,2,    2.489,2,   2.6300,2,   2211.9,2,  2312.83,2,   7.6263,2,    24.91,     -999,9,     -999,9,  -0.9723,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.161,1,    4.591,1,    0.222,1,  16.8600,2,     -999,9,20180326,1056, -67.0022, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,32         ,32         ,2,20180326,0857, -67.0020, 175.5832,     3079,    101.2,-0.2891000000000000236,34.446542020385159,2,  34.4442,2,233.09062025041661,2, 217.4035,3,    237.2,2,     79.6,2,    31.77,2,     0.22,2,     2.22,2,     -999,9,     -999,9,     -999,9,   2244.0,2,  2329.99,2,   7.5774,2,    24.94,     39.6,2,     -999,9,  -0.2950,2,     -999,9,     -999,9,     -999,     -999,9,    34.90,2,     -999,1,     -999,9,    0.104,1,    4.639,1,    0.173,1,     -999,9,     -999,9,20180326,1055, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,31         ,31         ,2,20180326,0857, -67.0020, 175.5832,     3079,    126.2,0.6705944444444446040,34.572668639223458,2,  34.5705,2,204.32903930755285,2, 193.3958,3,    205.4,2,     86.8,2,    32.72,2,     0.06,2,     2.27,2,    1.406,2,    0.749,2,   0.8600,2,   2255.9,2,  2339.80,2,   7.5651,2,    24.93,     42.0,2,     -999,9,   0.6601,2,     -999,9,     -999,9,     -999,     -999,9,    34.30,2,     -999,1,     -999,9,    0.075,1,    4.662,1,    0.159,1,  20.5500,2,     -999,9,20180326,1052, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,30         ,30         ,2,20180326,0857, -67.0020, 175.5832,     3079,    151.8,1.1259472222222219884,34.637858882158227,2,  34.6425,2,193.08587487259172,2, 187.1974,3,    191.5,2,     90.5,2,    32.87,2,     0.03,2,     2.29,2,     -999,9,     -999,9,     -999,9,   2260.1,2,  2347.53,2,   7.5637,2,    24.92,     40.6,2,     -999,9,   1.1221,2,     -999,9,     -999,9,     -999,     -999,9,    34.70,2,     -999,1,     -999,9,    0.070,1,    4.665,1,    0.164,1,     -999,9,     -999,9,20180326,1050, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,29         ,29         ,2,20180326,0857, -67.0020, 175.5832,     3079,    175.9,1.3299138888888892840,34.673364366879881,2,  34.6729,2,188.51893692032544,2, 187.3005,2,    187.6,2,     92.1,2,    32.87,2,     0.02,2,     2.28,2,    0.633,2,    0.344,2,   0.3300,2,   2262.1,2,  2347.06,2,   7.5668,2,    24.93,     39.1,2,     -999,9,   1.3317,2,     -999,9,     -999,9,     -999,     -999,9,    35.00,2,     -999,1,     -999,9,    0.067,1,    4.666,1,    0.152,1,  20.3100,2,     -999,9,20180326,1049, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,28         ,28         ,2,20180326,0857, -67.0020, 175.5832,     3079,    202.2,1.4059499999999998110,34.689063247294435,2,  34.6886,2,186.83623114124978,2, 187.3919,2,    186.3,2,     93.7,2,    32.83,2,     0.00,2,     2.28,2,     -999,9,     -999,9,     -999,9,   2263.6,2,  2347.53,2,   7.5670,6,    24.93,     42.3,2,     -999,9,   1.4051,2,     -999,9,     -999,9,     -999,     -999,9,    34.70,2,     -999,1,     -999,9,    0.064,1,    4.669,1,    0.156,1,     -999,9,     -999,9,20180326,1047, -67.0022, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,27         ,27         ,2,20180326,0857, -67.0020, 175.5832,     3079,    226.8,1.4318166666666667375,34.697282277053006,2,  34.6970,2,186.27413167704981,2, 187.6001,2,    185.8,2,     94.2,2,    32.78,2,     0.00,2,     2.28,2,    0.455,2,    0.245,2,   0.2100,2,   2264.0,2,  2350.54,2,   7.5695,2,    24.93,     -999,9,     -999,9,   1.4314,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.669,1,    0.151,1,  20.5200,2,     -999,9,20180326,1045, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,26         ,26         ,2,20180326,0857, -67.0020, 175.5832,     3079,    252.2,1.4629361111111112148,34.708102135774176,2,  34.7082,2,185.53612835989898,2, 187.8006,2,    185.6,2,     95.1,2,    32.71,2,     0.00,2,     2.27,2,     -999,9,     -999,9,     -999,9,   2261.3,6,  2353.26,2,   7.5714,2,    24.92,     39.8,2,     -999,9,   1.4620,2,     -999,9,     -999,9,     -999,     -999,9,    35.00,2,     -999,1,     -999,9,    0.065,1,    4.668,1,    0.156,1,     -999,9,     -999,9,20180326,1043, -67.0021, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,25         ,25         ,2,20180326,0857, -67.0020, 175.5832,     3079,    302.9,1.4633694444444440563,34.718659773711373,2,  34.7174,2,185.58803473819449,2, 188.3009,2,    186.2,2,     97.5,2,    32.68,2,     0.00,2,     2.26,2,    0.310,2,    0.166,2,   0.0900,2,   2264.1,2,  2353.41,2,   7.5776,2,    24.92,     40.9,2,     -999,9,   1.4623,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.063,1,    4.672,1,    0.144,1,  19.9500,2,     -999,9,20180326,1040, -67.0020, 175.5832,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,24         ,24         ,2,20180326,0857, -67.0020, 175.5832,     3079,    354.9,1.4074527777777778859,34.720885697625874,2,  34.7192,2,186.95023096467293,2, 188.8990,2,    187.3,2,     99.5,2,    32.57,2,     0.00,2,     2.25,2,     -999,9,     -999,9,     -999,9,   2262.3,2,  2354.59,2,   7.5779,2,    24.91,     42.1,2,     -999,9,   1.4069,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.676,1,    0.142,1,     -999,9,     -999,9,20180326,1038, -67.0021, 175.5834,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,23         ,23         ,2,20180326,0857, -67.0020, 175.5832,     3079,    404.1,1.3855361111111108574,34.724626353952452,2,  34.7221,2,187.51206272261018,2, 189.6968,2,    187.9,2,    100.7,2,    32.58,2,     0.00,2,     2.25,2,    0.236,2,    0.121,2,   0.1000,2,   2263.9,2,  2354.79,2,   7.5801,2,    24.92,     43.0,2,     -999,9,   1.3849,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.677,1,    0.140,1,  19.1200,2,     -999,9,20180326,1036, -67.0020, 175.5834,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,22         ,37         ,2,20180326,0857, -67.0020, 175.5832,     3079,    454.3,1.3426194444444441434,34.723288946582869,2,  34.7215,2,188.39042987815489,2, 190.2012,2,    189.0,2,    102.2,2,    32.59,2,     0.00,2,     2.25,2,     -999,9,     -999,9,     -999,9,   2262.8,2,  2356.11,2,   7.5799,2,    24.91,     -999,9,     -999,9,   1.3404,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.676,1,    0.140,1,     -999,9,     -999,9,20180326,1033, -67.0018, 175.5835,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,21         ,21         ,2,20180326,0857, -67.0020, 175.5832,     3079,    506.6,1.3029055555555553170,34.723335534454883,2,  34.7211,2,189.26651254073494,2, 190.6994,2,    188.9,2,    103.6,2,    32.61,2,     0.00,2,     2.23,2,    0.216,2,    0.115,2,   0.0700,2,   2263.0,2,  2356.15,2,   7.5837,2,    24.91,     40.9,2,     -999,9,   1.3025,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.676,1,    0.140,1,  20.4000,2,     -999,9,20180326,1031, -67.0017, 175.5835,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,20      ,  1,20         ,20         ,2,20180326,0857, -67.0020, 175.5832,     3079,    606.2,1.2243444444444446795,34.721567642686118,2,  34.7210,2,191.05767861434364,2, 191.9980,2,    190.6,2,    106.8,2,    32.62,2,     0.00,2,     2.23,2,    0.196,2,    0.111,2,   0.1200,2,   2265.6,2,  2357.74,2,   7.5825,2,    24.93,     41.1,2,     -999,9,   1.2238,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.676,1,    0.140,1,  20.2100,2,     -999,9,20180326,1027, -67.0015, 175.5835,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
